Time,Surge Speed,Sway Speed,Yaw Rate,Heading,x,y,Rudder Angle,Wind Direction,Wind Speed
0.0,5.374894295030525,-0.0042063026123113,-0.001081273493849844,-0.19171394933672037,930.6770533356879,-85.10606774368338,0.0,0.7853981633974483,6.17333
1.0,5.374093181247604,-0.0042314925926645475,-0.0010687186149880698,-0.19279223680496127,935.9519277911894,-86.13691089035808,0.0,0.7853981633974483,6.17333
2.0,5.373215128453216,-0.006262175177072773,-0.0010859677157201114,-0.19387431355083784,941.2244391138404,-87.1747507632996,0.0,0.7853981633974483,6.17333
3.0,5.373172942425746,-0.005367802393033255,-0.0010865716304738983,-0.19495919872732426,946.4953513646049,-88.2181296198617,0.0,0.7853981633974483,6.17333
4.0,5.3734070692681914,-0.0059106582386531485,-0.0010850243749755313,-0.19604594391934693,951.765191989744,-89.26761271281799,0.0,0.7853981633974483,6.17333
5.0,5.37397335497818,-0.005820050847586821,-0.0010815217118600453,-0.19712589067570274,957.0341792028496,-90.32304325076844,0.0,0.7853981633974483,6.17333
6.0,5.374418720499158,-0.004709357353811797,-0.001059001893736454,-0.19819662237867064,962.3028618566725,-91.38319290335485,0.0,0.7853981633974483,6.17333
7.0,5.374690825985938,-0.005462348480830173,-0.0010787793092757625,-0.1992640057030748,967.5708105842436,-92.44902765985927,0.0,0.7853981633974483,6.17333
8.0,5.3738038815887315,-0.005783195377273164,-0.0010799457223208701,-0.20034268498420627,972.8369444560344,-93.521715152935,0.0,0.7853981633974483,6.17333
9.0,5.372633219327475,-0.005426075196190888,-0.001068733831155405,-0.20141964186639516,978.1011185079715,-94.59889177072607,0.0,0.7853981633974483,6.17333
10.0,5.372991183477776,-0.0064621400686654005,-0.0010896282311638294,-0.20249856745495265,983.3635395776571,-95.68224535336174,0.0,0.7853981633974483,6.17333
11.0,5.373308448209342,-0.0060091936980587075,-0.001082656959838691,-0.2035887048524847,988.6250228051241,-96.77236514448528,0.0,0.7853981633974483,6.17333
12.0,5.37354324823304,-0.005667979342366019,-0.0010849851430120207,-0.2046730790068123,993.8858350671351,-97.86707382096954,0.0,0.7853981633974483,6.17333
13.0,5.373373634597515,-0.004463732659343931,-0.0010705864234992401,-0.20575251123483262,999.1456808956447,-98.9665933908269,0.0,0.7853981633974483,6.17333
14.0,5.373645038853755,-0.0039316969100760745,-0.0010715235736877848,-0.20682791313704385,1004.4043215461694,-100.07185948554836,0.0,0.7853981633974483,6.17333
15.0,5.374073098005798,-0.0036431838209070072,-0.001084384042769702,-0.20790571938542346,1009.6623757405478,-101.18186275784284,0.0,0.7853981633974483,6.17333
16.0,5.373810417057064,-0.0037961778277505374,-0.0010753782904323965,-0.20898893563186327,1014.919320747229,-102.29748060481101,0.0,0.7853981633974483,6.17333
17.0,5.373819112315385,-0.0034002195292575283,-0.0010816289783072291,-0.2100680672070414,1020.174975581314,-103.41840710809788,0.0,0.7853981633974483,6.17333
