Time,Surge Speed,Sway Speed,Yaw Rate,Heading,x,y,Rudder Angle,Wind Direction,Wind Speed
0.0,5.410509680395341,4.6716185322632e-13,-2.8138198200652584e-14,-7.673861546209082e-13,962.3944356073534,-1.9704354770055943e-07,0.0,3.141592653589793,0
1.0,5.410511587742359,6.449475880316e-13,4.9043751981040654e-15,-7.496225862269057e-13,967.8049934733416,-1.982379131959533e-07,0.0,3.141592653589793,0
2.0,5.4105130463018085,4.29241891724352e-12,5.703037863816672e-14,-7.496225862269057e-13,973.2155531015442,-1.9917932547741657e-07,0.0,3.141592653589793,0
3.0,5.410514925599539,7.565836851412001e-13,6.649093584860198e-14,-7.860379014346108e-13,978.626114489903,-2.004059069804498e-07,0.0,3.141592653589793,0
4.0,5.410516832946557,2.1395481238989203e-12,-1.4601715410393226e-14,-7.860379014346108e-13,984.0366776392158,-2.0153959212620975e-07,0.0,3.141592653589793,0
5.0,5.41051826345677,-2.7197109919112e-12,-2.940268924372248e-14,-8.029132914089132e-13,989.4472424236918,-2.026791605658218e-07,0.0,3.141592653589793,0
6.0,5.410520170803789,1.2976275523274e-12,-6.512841547921173e-14,-8.029132914089132e-13,994.8578089043265,-2.0389941823850677e-07,0.0,3.141592653589793,0
7.0,5.4105216013140005,-1.02745827781296e-12,-6.568837528089325e-15,-7.860379014346108e-13,1000.2683770197339,-2.0508423403953202e-07,0.0,3.141592653589793,0
8.0,5.4105230318242645,-1.4690719571556e-12,-1.4906566253074902e-14,-8.029132914089132e-13,1005.678946704226,-2.0650647059028415e-07,0.0,3.141592653589793,0
9.0,5.410524911121995,2.12511523800128e-12,2.3970351946890123e-14,-8.029132914089132e-13,1011.0895178933937,-2.07500946203254e-07,0.0,3.141592653589793,0
10.0,5.410526369681496,4.30896751068e-14,-3.52213260816629e-14,-8.206768598029157e-13,1016.5000906541678,-2.0860031213487673e-07,0.0,3.141592653589793,0
11.0,5.410527800191708,1.6953090979244e-13,-1.1879001777282073e-14,-8.206768598029157e-13,1021.9106649196749,-2.0977965675683663e-07,0.0,3.141592653589793,0
12.0,5.410529230701971,2.3727208803536003e-12,2.5613579437642783e-14,-8.206768598029157e-13,1027.3212406928071,-2.1071596734145714e-07,0.0,3.141592653589793,0
13.0,5.410530661212184,1.010954996604e-14,-1.3852969161287659e-14,-8.206768598029157e-13,1032.7318178427463,-2.1213453749169275e-07,0.0,3.141592653589793,0
14.0,5.410532091722447,3.42314769376776e-12,4.170406069998717e-14,-8.206768598029157e-13,1038.1423964346693,-2.1296500563039444e-07,0.0,3.141592653589793,0
15.0,5.410533522232661,2.0868909581800002e-13,5.221007013236704e-14,-8.206768598029157e-13,1043.552976339901,-2.1456719423440518e-07,0.0,3.141592653589793,0
16.0,5.410534475906169,-3.009877316894e-13,-4.297000618410039e-15,-8.206768598029157e-13,1048.963557687886,-2.1536045835546247e-07,0.0,3.141592653589793,0
17.0,5.410535906416382,1.22917909589552e-12,-3.549447010960001e-14,-8.029132914089132e-13,1054.3741402869273,-2.1688101980998908e-07,0.0,3.141592653589793,0
18.0,5.410537336926645,1.17831133103068e-12,-1.3306971993622099e-14,-8.029132914089132e-13,1059.7847242643436,-2.1746274114775588e-07,0.0,3.141592653589793,0
19.0,5.410538767436857,6.5889720523564e-13,3.2385166047172116e-14,-8.029132914089132e-13,1065.195309428357,-2.1834929953001847e-07,0.0,3.141592653589793,0
20.0,5.410539721110367,-7.245962259984e-13,-2.6629070174094814e-14,-8.029132914089132e-13,1070.6058959060576,-2.1924049065091822e-07,0.0,3.141592653589793,0
21.0,5.410541151620631,-4.740191088021201e-13,-3.2634748130207307e-15,-7.673861546209082e-13,1076.016483568297,-2.209746270409596e-07,0.0,3.141592653589793,0
22.0,5.4105421052940885,9.982398443668e-13,-8.509818189232219e-14,-7.496225862269057e-13,1081.4270724200078,-2.2214157979760785e-07,0.0,3.141592653589793,0
23.0,5.4105435358043525,-1.29519812654848e-12,-2.3040091455577142e-14,-7.673861546209082e-13,1086.837662457447,-2.229925684105183e-07,0.0,3.141592653589793,0
24.0,5.41054448947781,-1.8462405163966398e-12,1.0588330795432266e-15,-7.673861546209082e-13,1092.2482536814882,-2.2420630330088898e-07,0.0,3.141592653589793,0
25.0,5.410545443151319,-1.8045745393376401e-12,1.841845959629616e-14,-7.496225862269057e-13,1097.6588459637644,-2.25376709295233e-07,0.0,3.141592653589793,0
26.0,5.410546873661583,3.28444177458908e-12,5.257542572245118e-14,-7.496225862269057e-13,1103.0694393690774,-2.2657573595097347e-07,0.0,3.141592653589793,0
27.0,5.410547827335041,-4.5968418333096e-13,1.1654726968400801e-14,-7.496225862269057e-13,1108.480033896185,-2.2750273842575552e-07,0.0,3.141592653589793,0
28.0,5.410548781008551,2.5594537120292003e-13,4.049338397552044e-14,-7.673861546209082e-13,1113.8906294827536,-2.2832558954632987e-07,0.0,3.141592653589793,0
29.0,5.410549734682059,-1.71023178595444e-12,-2.0746147042039265e-14,-7.860379014346108e-13,1119.3012260644168,-2.2921790332475211e-07,0.0,3.141592653589793,0
30.0,5.41055237130875,8.825278490098162e-06,-6.447633109095758e-11,-1.815436689867056e-12,1124.7118237048633,-2.9694305681005062e-08,0.003490658366000014,3.141592653589793,0
31.0,5.410958860610305,0.008725661696491109,-3.7957274797990966e-06,-1.0133917456300878e-06,1130.1226722856659,0.003137690479320554,0.17802357673506192,3.141592653589793,0
32.0,5.4085426446694225,0.02561221491418521,-2.5426931161119643e-05,-1.4022206152652927e-05,1135.5326800687053,0.020772946218301058,0.2617993950843806,3.141592653589793,0
33.0,5.405564322352348,0.032509986274018216,-6.148297753092314e-05,-5.717145262362777e-05,1140.9397363753974,0.050566106756306795,0.2617993950843806,3.141592653589793,0
34.0,5.402851429807644,0.03170204338252063,-9.930327445622701e-05,-0.00013807947791644182,1146.3439509163097,0.08256122155543721,0.2617993950843806,3.141592653589793,0
35.0,5.400309272867287,0.028228243311359105,-0.0001328646510097343,-0.00025490611989464895,1151.7455558201493,0.11146631994029121,0.2617993950843806,3.141592653589793,0
36.0,5.3977653768752765,0.025874999732803595,-0.00016187585339009548,-0.00040283735484791805,1157.1446318687942,0.1365081079946009,0.2617993950843806,3.141592653589793,0
37.0,5.3952002756726385,0.026778874354555143,-0.0001893691300850437,-0.0005786579465141273,1162.5411498788803,0.15987642393564272,0.2617993950843806,3.141592653589793,0
38.0,5.39270434384747,0.03128494533981375,-0.0002194039432863344,-0.0007829036091173691,1167.9351376291213,0.18500117878983247,0.2617993950843806,3.141592653589793,0
39.0,5.390324788237552,0.0382981026458959,-0.000255211908712323,-0.0010199276182571992,1173.326698891529,0.2148509675770498,0.2617993950843806,3.141592653589793,0
40.0,5.388027613187898,0.04612748086969321,-0.00029809733592482484,-0.001296352588240346,1178.7159438226838,0.25089155832111487,0.2617993950843806,3.141592653589793,0
41.0,5.385756103174873,0.05327368592732715,-0.0003473554611174246,-0.0016190363573604927,1184.1029300865248,0.29290558113308407,0.2617993950843806,3.141592653589793,0
42.0,5.383495111619479,0.05888847937344391,-0.00040097070022384235,-0.0019933930324294025,1189.4876744168596,0.33945269931233213,0.2617993950843806,3.141592653589793,0
43.0,5.381278213438522,0.06286069403974352,-0.0004565782026684222,-0.0024225433247542227,1194.8702057414682,0.3886009675808566,0.2617993950843806,3.141592653589793,0
44.0,5.3791362347251725,0.0656181226106597,-0.0005122670588790929,-0.002907473717203679,1200.2505874713465,0.43859680666679424,0.2617993950843806,3.141592653589793,0
45.0,5.377058909464715,0.06780994741823902,-0.0005669934120407957,-0.003447652452025274,1205.6288957252077,0.4882532380542415,0.2617993950843806,3.141592653589793,0
46.0,5.3750054821400495,0.07001642925826386,-0.0006205179618995558,-0.004041950492289281,1211.0051774419542,0.5370231409185351,0.2617993950843806,3.141592653589793,0
47.0,5.37295188652007,0.07257602755445362,-0.0006731281823967055,-0.004689278519330209,1216.3794455845916,0.5848316796975297,0.2617993950843806,3.141592653589793,0
48.0,5.370912680150128,0.07555186181801997,-0.0007252964423964731,-0.005388936493542218,1221.7517102417464,0.6318050793492063,0.2617993950843806,3.141592653589793,0
49.0,5.368920624519596,0.07880582908286865,-0.0007774062687526409,-0.006140717716121458,1227.122007302803,0.6780230441705015,0.2617993950843806,3.141592653589793,0
50.0,5.366990221075457,0.08211675817851957,-0.0008296165101718476,-0.00694464631926639,1232.4904003093766,0.7233760380507874,0.2617993950843806,3.141592653589793,0
51.0,5.365105032974576,0.08528700334153487,-0.0008818441830735066,-0.007800819187910868,1237.856947882356,0.7675373646692663,0.2617993950843806,3.141592653589793,0
52.0,5.363238441506765,0.08820407887112698,-0.0009338336394108917,-0.008709128398227683,1243.2216834827987,0.8100237106842201,0.2617993950843806,3.141592653589793,0
53.0,5.361382256299743,0.09085263702279532,-0.0009852714275060005,-0.009669165565231452,1248.5846205854696,0.85029149970687,0.2617993950843806,3.141592653589793,0
54.0,5.359550754406606,0.09328931969091814,-0.0010358942878044433,-0.010680252412209157,1253.945774966603,0.8878233904783599,0.2617993950843806,3.141592653589793,0
55.0,5.35775953119392,0.09560142744427541,-0.001085550490054117,-0.011741466436745007,1259.3051805931432,0.9221843062478428,0.2617993950843806,3.141592653589793,0
56.0,5.356008446415608,0.09786809239275339,-0.0011342054657523996,-0.012851835392847732,1264.6628784034729,0.9530279545999605,0.2617993950843806,3.141592653589793,0
57.0,5.354281512016006,0.10013681413796868,-0.0011819059590749805,-0.014010369339398032,1270.0189010283366,0.9800797211999992,0.2617993950843806,3.141592653589793,0
58.0,5.35256669487961,0.10241820755675335,-0.0012287264689798702,-0.015216149992355099,1275.37326507035,1.0030982314465007,0.2617993950843806,3.141592653589793,0
59.0,5.350867641405095,0.10469543917246667,-0.0012747277779609858,-0.016468336915261617,1280.7259818321438,1.0218415663179883,0.2617993950843806,3.141592653589793,0
60.0,5.349196076166521,0.10694013281601586,-0.001319938325596652,-0.017766112571233172,1286.0770713656211,1.0360505056463296,0.2617993950843806,3.141592653589793,0
61.0,5.347558674878296,0.10912689473931772,-0.0013643542017016468,-0.019108706208700532,1291.4265615149563,1.045438751004454,0.2617993950843806,3.141592653589793,0
62.0,5.345948761826112,0.11124181428214536,-0.0014079517260299204,-0.020495299140312895,1296.774480119408,1.0497080184319287,0.2617993950843806,3.141592653589793,0
63.0,5.344355762453765,0.11328382908027834,-0.001450701342785646,-0.021925064899451563,1302.1208434656098,1.048555149155419,0.2617993950843806,3.141592653589793,0
64.0,5.342776030362685,0.11526129078908096,-0.0014925809809934007,-0.023397142834507,1307.4656587679824,1.0416862165969434,0.2617993950843806,3.141592653589793,0
65.0,5.341213857083507,0.11718652704090385,-0.0015335836214940694,-0.02491064742205129,1312.8089342027279,1.028824915064277,0.2617993950843806,3.141592653589793,0
66.0,5.339677068348805,0.11907078776446017,-0.001573717036722381,-0.026464723160136927,1318.1506829219409,1.009707100140119,0.2617993950843806,3.141592653589793,0
67.0,5.3381658605030236,0.12092132149187017,-0.001613000914563638,-0.028058494167270354,1323.4909231284607,0.9840885846821976,0.2617993950843806,3.141592653589793,0
68.0,5.336673922471719,0.122740490493411,-0.0016514579012219205,-0.029691131347232336,1328.8296675913957,0.9517298699787347,0.2617993950843806,3.141592653589793,0
69.0,5.335195251721577,0.12452694227073885,-0.001689109170589875,-0.03136181721791065,1334.1669222511096,0.9123986787803062,0.2617993950843806,3.141592653589793,0
70.0,5.333731278762913,0.12627762603286927,-0.0017259717466963358,-0.033069748869693605,1339.502689278485,0.8658653742097897,0.2617993950843806,3.141592653589793,0
71.0,5.332285818289716,0.12798976183910202,-0.0017620586817532638,-0.034814158125809236,1344.8369721857343,0.8118979608027388,0.2617993950843806,3.141592653589793,0
72.0,5.330862095962319,0.12966213875200225,-0.0017973807476019139,-0.03659425763521096,1350.169778829033,0.7502720807330974,0.2617993950843806,3.141592653589793,0
73.0,5.329457727596952,0.13129529847213828,-0.0018319468328945048,-0.03840930321634772,1355.5011152107882,0.6807615125101023,0.2617993950843806,3.141592653589793,0
74.0,5.32806833751527,0.13289102124846464,-0.0018657670794599499,-0.04025853491003328,1360.8309835662797,0.6031497465306188,0.2617993950843806,3.141592653589793,0
75.0,5.326691597631972,0.13445159133936518,-0.0018988529918712266,-0.04214121269826965,1366.1593811509379,0.5172250129604663,0.2617993950843806,3.141592653589793,0
76.0,5.3253297799338855,0.13597910191791046,-0.0019312183687679593,-0.044056614751312395,1371.4863040677817,0.4227799917761814,0.2617993950843806,3.141592653589793,0
77.0,5.32398554909699,0.13747510620967762,-0.0019628791932890357,-0.046004020773295906,1376.8117510439342,0.319617687230334,0.2617993950843806,3.141592653589793,0
78.0,5.32265862462908,0.13894048075280305,-0.0019938508870406147,-0.04798274443427886,1382.1357207347617,0.20753951656223535,0.2617993950843806,3.141592653589793,0
79.0,5.321347828462861,0.1403756778409656,-0.0020241484402073735,-0.04999209261114945,1387.4582105264794,0.08635797146824586,0.2617993950843806,3.141592653589793,0
80.0,5.320049345904349,0.14178082895488617,-0.0020537856719728114,-0.05203140833796205,1392.7792137122983,-0.044114648455519045,0.2617993950843806,3.141592653589793,0
81.0,5.3187636537904,0.14315611992064872,-0.002082776264561219,-0.05410003267665253,1398.0987211646686,-0.18406166620646047,0.2617993950843806,3.141592653589793,0
82.0,5.317492659467878,0.14450191888427086,-0.002111133188009042,-0.056197322905045866,1403.4167241318278,-0.333659378634394,0.2617993950843806,3.141592653589793,0
83.0,5.316236839773589,0.1458187894597751,-0.0021388699601895336,-0.05832266544592457,1408.7332138689505,-0.493087547650191,0.2617993950843806,3.141592653589793,0
84.0,5.314996194707484,0.14710748108726696,-0.0021659989348227276,-0.06047542962955621,1414.048182267561,-0.6625125473043312,0.2617993950843806,3.141592653589793,0
85.0,5.313768340085889,0.14836880982375233,-0.0021925325067164137,-0.06265502861315131,1419.3616178337506,-0.8421039815574858,0.2617993950843806,3.141592653589793,0
86.0,5.312552322235297,0.14960354088702402,-0.0022184830569824737,-0.06486086152931136,1424.673507094435,-1.0320239259414308,0.2617993950843806,3.141592653589793,0
87.0,5.311349066779982,0.15081236849528634,-0.002243863309130784,-0.06709235555984083,1429.9838354280507,-1.2324297620308897,0.2617993950843806,3.141592653589793,0
88.0,5.310158910310569,0.15199586152179023,-0.0022686859729752983,-0.06934895717044487,1435.2925879573231,-1.4434802420608435,0.2617993950843806,3.141592653589793,0
89.0,5.3089829186974065,0.15315454238326381,-0.0022929637720259053,-0.07163009836390977,1440.599750698534,-1.6653226041973994,0.2617993950843806,3.141592653589793,0
90.0,5.307819352888895,0.15428887739799663,-0.002316708334118864,-0.0739352554082755,1445.905307308237,-1.8981086527407172,0.2617993950843806,3.141592653589793,0
91.0,5.3066675677529656,0.15539933200773925,-0.002339930862516908,-0.07626388528766448,1451.2092403522493,-2.141980815116696,0.2617993950843806,3.141592653589793,0
92.0,5.305527142551284,0.15648638480231397,-0.0023626428480971007,-0.07861548443049848,1456.5115305487818,-2.397080342450394,0.2617993950843806,3.141592653589793,0
93.0,5.304398077283801,0.15755051437154316,-0.002384855494122179,-0.08098954795035951,1461.8121576565275,-2.663547561569459,0.2617993950843806,3.141592653589793,0
94.0,5.303282279297583,0.15859225978638067,-0.0024065799901589555,-0.08338557183741813,1467.111102330143,-2.941513388647479,0.2617993950843806,3.141592653589793,0
95.0,5.302178149787054,0.1596121075254927,-0.0024278268272823144,-0.08580308363717215,1472.4083433714584,-3.231114189281726,0.2617993950843806,3.141592653589793,0
96.0,5.301085352161487,0.16061057299330306,-0.0024486069211406667,-0.08824160563593697,1477.7038595179201,-3.5324744683558578,0.2617993950843806,3.141592653589793,0
97.0,5.3000034376335154,0.16158811637233383,-0.0024689298040944854,-0.09070068334831571,1482.9976271428418,-3.8457211635925574,0.2617993950843806,3.141592653589793,0
98.0,5.2989324062029866,0.16254520047472062,-0.002488806104177856,-0.09317985308519994,1488.289621986158,-4.170977447724383,0.2617993950843806,3.141592653589793,0
99.0,5.297872734706705,0.1634822714583753,-0.002508245874196217,-0.09567867964505616,1493.5798197830213,-4.508359480482696,0.2617993950843806,3.141592653589793,0
100.0,5.296824423144672,0.16439975269121754,-0.002527258756077396,-0.0981967396595822,1498.8681948033436,-4.85798973044632,0.2617993950843806,3.141592653589793,0
101.0,5.295786994680185,0.16529805264001937,-0.0025458543095737063,-0.10073359880376831,1504.1547220829207,-5.219976217923772,0.2617993950843806,3.141592653589793,0
102.0,5.294759860279544,0.16617758064808968,-0.0025640418479108925,-0.10328884729566745,1509.4393741625718,-5.594433394174743,0.2617993950843806,3.141592653589793,0
103.0,5.293743047991985,0.1670387513179679,-0.0025818299721268507,-0.10586208324220614,1514.7221231432056,-5.9814688053775456,0.2617993950843806,3.141592653589793,0
104.0,5.29273661391598,0.16788195383258622,-0.002599228118710609,-0.10845291483050978,1520.0029406756619,-6.381186480399705,0.2617993950843806,3.141592653589793,0
105.0,5.291740417805401,0.16870759227602575,-0.0026162448887000617,-0.1110609533155591,1525.2817971335458,-6.793693986132169,0.2617993950843806,3.141592653589793,0
106.0,5.290755104792316,0.16951604881891327,-0.0026328889790045475,-0.11368581915602949,1530.5586637217457,-7.219086805798213,0.2617993950843806,3.141592653589793,0
107.0,5.289779244366512,0.17030770650841523,-0.0026491685250006718,-0.11632714552038159,1535.8335095362143,-7.657467565903062,0.2617993950843806,3.141592653589793,0
108.0,5.288813790201498,0.17108290456479072,-0.002665091662065041,-0.11898457741035529,1541.1063036121002,-8.108929411906445,0.2617993950843806,3.141592653589793,0
