Time,Surge Speed,Sway Speed,Yaw Rate,Heading,x,y,Rudder Angle,Wind Direction,Wind Speed
0.0,5.410093514112772,-1.0684581219141201e-12,-1.1479815888530102e-13,-5.586642259913788e-13,540.359472464664,-1.068995914010884e-07,0.0,3.141592653589793,0
1.0,5.410103724028962,1.4265700343188003e-13,2.4934064582199655e-14,-5.586642259913788e-13,545.7696185604211,-1.068642987434032e-07,0.0,3.141592653589793,0
2.0,5.410113457108449,-1.85036140318092e-12,-8.195193502739375e-15,-5.586642259913788e-13,551.1797746562216,-1.0774336089980352e-07,0.0,3.141592653589793,0
3.0,5.410123442630905,-2.28218553730328e-12,-8.681558587628461e-15,-5.764277943853813e-13,556.5899406892902,-1.0831814023504194e-07,0.0,3.141592653589793,0
4.0,5.41013292326737,1.7296933259410001e-12,1.2093502742352176e-13,-5.764277943853813e-13,562.00011633664,-1.0953996820717293e-07,0.0,3.141592653589793,0
5.0,5.410142179510103,6.9532555076404e-13,1.1719595038933256e-14,-5.586642259913788e-13,567.4103014723748,-1.1065647242958221e-07,0.0,3.141592653589793,0
6.0,5.410151435752835,1.6230793597704e-13,-4.897568414021288e-14,-5.586642259913788e-13,572.8204958424815,-1.1182822134969683e-07,0.0,3.141592653589793,0
7.0,5.410160635897095,1.8513083556850403e-12,-3.967424277991777e-14,-5.586642259913788e-13,578.2306993181737,-1.1299451330160082e-07,0.0,3.141592653589793,0
8.0,5.410169471401494,-5.6378382502932e-13,-6.447886210926118e-14,-5.764277943853813e-13,583.6409117076233,-1.1420527101790867e-07,0.0,3.141592653589793,0
9.0,5.410177802019953,1.7206744023994e-12,-7.742280561846845e-15,-5.933031843596837e-13,589.0511328177845,-1.1535966137898868e-07,0.0,3.141592653589793,0
10.0,5.410186553376694,1.1156099085781999e-12,6.354947428257419e-14,-5.933031843596837e-13,594.4613625236531,-1.163004270665624e-07,0.0,3.141592653589793,0
11.0,5.410194855945969,2.51637055492788e-12,3.38262262329021e-14,-5.764277943853813e-13,599.8716005690799,-1.1743545513809295e-07,0.0,3.141592653589793,0
12.0,5.4102030743675344,1.4764647232132e-13,-4.723791798164387e-14,-5.764277943853813e-13,605.2818468261316,-1.1832531754407682e-07,0.0,3.141592653589793,0
13.0,5.41021098424766,2.86513702103972e-12,-2.6264005472219337e-14,-5.764277943853813e-13,610.6921011665637,-1.1946956846031753e-07,0.0,3.141592653589793,0
14.0,5.410218809980128,-1.10389380144456e-12,3.9013344769829244e-14,-5.764277943853813e-13,616.1023633341333,-1.2062693599546037e-07,0.0,3.141592653589793,0
15.0,5.410226439368099,9.780533961954001e-13,-1.3946635164478022e-14,-5.586642259913788e-13,621.5126332670213,-1.2179606301288004e-07,0.0,3.141592653589793,0
16.0,5.410233984608362,-3.3887438705792e-12,-8.901179185171082e-15,-5.764277943853813e-13,626.9229107725373,-1.229689132742351e-07,0.0,3.141592653589793,0
17.0,5.410241221307234,-2.05643820895576e-12,1.2842423524382944e-14,-5.764277943853813e-13,632.3331956605791,-1.2450071551484143e-07,0.0,3.141592653589793,0
18.0,5.410248373858399,-1.38330403867544e-12,-6.711081862126863e-14,-5.764277943853813e-13,637.7434878645932,-1.253273325119153e-07,0.0,3.141592653589793,0
19.0,5.410255526409614,-1.22615537411892e-12,-2.1432061438073035e-14,-5.764277943853813e-13,643.1537871940811,-1.265305229480873e-07,0.0,3.141592653589793,0
20.0,5.41026242651781,6.2035290523528e-13,1.900634466600958e-14,-5.764277943853813e-13,648.5640934571578,-1.2746463795565433e-07,0.0,3.141592653589793,0
21.0,5.410269298576821,3.72467094622784e-12,-4.7865945624153154e-14,-5.764277943853813e-13,653.9744065920349,-1.2834468776645735e-07,0.0,3.141592653589793,0
22.0,5.410275693799025,-2.619144495016e-13,2.0594012508907092e-14,-5.764277943853813e-13,659.3847264695074,-1.292259099727744e-07,0.0,3.141592653589793,0
23.0,5.410282229267409,-2.3787879190787603e-12,3.6018941549824315e-14,-5.764277943853813e-13,664.7950528982361,-1.3008087051957773e-07,0.0,3.141592653589793,0
24.0,5.410288484243536,7.052979551041201e-13,-1.4454235088599708e-15,-5.933031843596837e-13,670.2053857494625,-1.3151741740102807e-07,0.0,3.141592653589793,0
25.0,5.410294879465793,-6.8654173327488e-13,-5.3766612936937315e-14,-5.933031843596837e-13,675.6157248969405,-1.3242755869669054e-07,0.0,3.141592653589793,0
26.0,5.410300825900479,-2.52672174438516e-12,-2.0687096735680122e-14,-6.110667527536862e-13,681.02607027553,-1.33312227035276e-07,0.0,3.141592653589793,0
27.0,5.410307024778185,-3.7306073933436e-13,-3.624001658841026e-14,-6.110667527536862e-13,686.4364216937724,-1.3448806157612125e-07,0.0,3.141592653589793,0
28.0,5.410312746819138,-4.8252862989492e-13,6.053441799975398e-14,-6.110667527536862e-13,691.8467790259456,-1.3568561740839868e-07,0.0,3.141592653589793,0
29.0,5.410318553007747,8.0971760669268e-13,-1.3039209397545305e-13,-6.110667527536862e-13,697.2571422054702,-1.3651322205987526e-07,0.0,3.141592653589793,0
30.0,5.410325873854276,8.828050747134294e-06,-6.464962221439421e-11,-1.6404655411861313e-12,702.6675111049077,6.232595950450559e-08,0.0034906583668433046,3.141592653589793,0
31.0,5.410736654686571,0.008727850302725975,-3.796552391544226e-06,-1.013618655676396e-06,708.0781354190515,0.003138616085195167,0.1780235767358997,3.141592653589793,0
32.0,5.40717715252348,0.027720204436976807,-2.5933355359107463e-05,-1.4096378055938885e-05,713.4877159832731,0.021188887739683082,0.3490658402442925,3.141592653589793,0
33.0,5.399928168110156,0.039471254056377435,-6.811064496785354e-05,-6.035060184839125e-05,718.8912262115223,0.05585214256325344,0.3490658402442925,3.141592653589793,0
34.0,5.393025086682345,0.04043137339122151,-0.00011577492199740551,-0.00015271936973970668,724.2876717458302,0.09586753045740437,0.3490658402442925,3.141592653589793,0
35.0,5.386287046867218,0.03689483784212428,-0.0001597734080859,-0.0002913769276355893,729.6773232221719,0.1334287480923706,0.3490658402442925,3.141592653589793,0
36.0,5.379493469595748,0.033851052589130314,-0.00019855796520393848,-0.00047133566113455316,735.0602268758897,0.16652261015880043,0.3490658402442925,3.141592653589793,0
37.0,5.372623991133978,0.03424721802451099,-0.0002350179077919166,-0.0006885033114523154,740.4362920250041,0.197090707155958,0.3490658402442925,3.141592653589793,0
38.0,5.365856247194452,0.03905250352021649,-0.0002737457004566035,-0.0009427973760907093,745.8055337424369,0.22904693431130596,0.3490658402442925,3.141592653589793,0
39.0,5.359321536177784,0.04733704192127225,-0.0003189467123077818,-0.0012388133430105697,751.1681370911928,0.26624514460599613,0.3490658402442925,3.141592653589793,0
40.0,5.352985413641266,0.05716875208955045,-0.0003728849114848032,-0.0015844241578957252,756.5243407157704,0.31097883525372794,0.3490658402442925,3.141592653589793,0
41.0,5.346726342313157,0.06661076041465776,-0.0004353483638942865,-0.0019884489558776863,761.874291049047,0.36349107857497387,0.3490658402442925,3.141592653589793,0
42.0,5.340482838302277,0.07439606739663224,-0.0005042396506346692,-0.002458434784778696,767.2180310001697,0.4223485158551554,0.3490658402442925,3.141592653589793,0
43.0,5.334305278008529,0.08015440360451145,-0.0005767432260598157,-0.0029993437038893234,772.555602337111,0.48526943941948986,0.3490658402442925,3.141592653589793,0
44.0,5.3282712455753956,0.08426180389884515,-0.0006502392249836429,-0.0036134420044975357,777.8871147052572,0.5499901790300399,0.3490658402442925,3.141592653589793,0
45.0,5.322386855732926,0.08748046464582888,-0.0007230434737932384,-0.004300772705496669,783.2127289035357,0.6148474893249514,0.3490658402442925,3.141592653589793,0
46.0,5.316579965886334,0.09057262647683584,-0.0007946327814884257,-0.005060320637905846,788.5325654348071,0.6789745807899052,0.3490658402442925,3.141592653589793,0
47.0,5.310782163987161,0.09403925065897727,-0.0008652955327892332,-0.005890963489517453,793.8466693837696,0.7421560016132673,0.3490658402442925,3.141592653589793,0
